Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 44.38     14.74    14.74   127165     0.00     0.00  std::string* std::__copy_move<true, false, std::random_access_iterator_tag>::__copy_m<std::string*, std::string*>(std::string*, std::string*, std::string*)
 31.69     25.27    10.53 4196290865     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  8.49     28.09     2.82   520680     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  3.45     29.24     1.15   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  3.07     30.26     1.02 652846268     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned long)
  2.71     31.16     0.90        1     0.90    30.12  DelSimEl()
  2.69     32.05     0.90 326423134     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.84     32.66     0.61 326435247     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.30     32.76     0.10   786432     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.18     32.82     0.06 24767877     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.12     32.86     0.04   786432     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.08     32.89     0.03  4718912     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.06     32.91     0.02 15463689     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.06     32.93     0.02  7996992     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.06     32.95     0.02   919488     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.06     32.97     0.02   786475     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.06     32.99     0.02   786432     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.06     33.01     0.02        1     0.02     3.11  FindMatchIndexes()
  0.05     33.02     0.02  2746559     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.03     33.03     0.01  6292008     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.03     33.04     0.01  3932479     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.03     33.05     0.01  3932160     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.03     33.06     0.01  2359296     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.03     33.07     0.01  2359296     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.03     33.08     0.01   786432     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long)
